#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
9.6%	1910000	-29966.20232048715	289.9984499084199	114	7:35:58
9.6%	1915000	-29793.518290559412	298.21357677861874	114	7:35:52
9.6%	1920000	-29997.08193758162	304.09356520155296	114	7:35:47
9.6%	1925000	-29860.455145322805	292.55110015697863	114	7:35:43
9.7%	1930000	-30135.727631416783	290.504966968212	114	7:35:36
9.7%	1935000	-30041.386685678037	295.9756717334256	114	7:35:30
9.7%	1940000	-29652.45852242678	299.50624230246353	114	7:35:23
9.7%	1945000	-29763.367897991004	300.96177053776216	114	7:35:16
9.8%	1950000	-29832.73603772759	295.73610115864	114	7:35:10
9.8%	1955000	-30206.37451779275	305.04128353164145	114	7:35:03
9.8%	1960000	-29967.30646680406	304.8781962662078	114	7:34:56
9.8%	1965000	-29984.283847627783	306.57788219799426	114	7:34:50
9.8%	1970000	-29908.66755778232	311.0102954865795	114	7:34:44
9.9%	1975000	-30075.187225992646	295.64904318820805	114	7:34:37
9.9%	1980000	-29650.994517983723	305.9660253981851	114	7:34:31
9.9%	1985000	-30091.82409973975	298.615270165689	114	7:34:25
9.9%	1990000	-30078.547282032698	298.6429806586909	114	7:34:19
10.0%	1995000	-30142.672473560582	300.1236324699373	114	7:34:14
10.0%	2000000	-29344.475421196752	305.6601989602574	114	7:34:07
10.0%	2005000	-30211.55667785424	297.28167990808663	114	7:34:02
10.1%	2010000	-30006.468218943628	305.08180266925217	114	7:33:56
10.1%	2015000	-29789.487210379884	298.9527074818542	114	7:33:51
10.1%	2020000	-29668.01110933462	309.56931255368335	114	7:33:46
10.1%	2025000	-29874.39493421759	305.1767255524671	114	7:33:39
